ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
350,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
351,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
352,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
353,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
354,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
355,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
356,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
357,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
358,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
359,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
360,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
361,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
362,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
363,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
364,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
365,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
366,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
367,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
368,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
369,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
370,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
371,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
372,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
373,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
374,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
375,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
376,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
377,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
378,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
379,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
380,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
381,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
382,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
383,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
384,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
385,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
386,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
387,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
388,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
389,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
390,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
391,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
392,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
393,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
394,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
395,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
396,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
397,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
398,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
399,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
400,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
401,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
402,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
403,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
404,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
405,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
406,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
407,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
408,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
409,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
410,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
411,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
412,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
413,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
414,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
415,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
416,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
417,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
418,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
419,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
420,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
421,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
422,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
423,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
424,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
425,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
426,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
427,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
428,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
429,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
430,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
431,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
432,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
