ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
357,VUNESP,PC-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, segundo a criminologia moderna para PC-SP, é correto:",Prevenção do crime desconsidera a vítima no processo.,Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime foca apenas na punição, não na prevenção.","Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime é teoria que nega influência do meio.,B,Gabarito B. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
358,FGV,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Sobre Criminologia e segurança pública, segundo a criminologia moderna para GCM-SP, é correto:",Criminologia e segurança pública defende pena de morte como prevenção.,Criminologia e segurança pública desconsidera a vítima no processo.,Criminologia e segurança pública é teoria que nega influência do meio.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.","Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",A,Gabarito A. Criminologia e segurança pública em Noções de Criminologia: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
359,FGV,GCM-SP,Noções de Criminologia,Prevenção do crime,"Quanto a Prevenção do crime, na perspectiva da prevenção, é correto afirmar:",Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime é teoria que nega influência do meio.,"Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime desconsidera a vítima no processo.,B,Gabarito B. Prevenção do crime em Noções de Criminologia: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
360,VUNESP,PC-SP,Noções de Criminologia,Criminologia e segurança pública,"Em Criminologia e segurança pública, conforme teoria do etiquetamento, assinale a correta:",Criminologia e segurança pública é teoria que nega influência do meio.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública desconsidera a vítima no processo.,Criminologia e segurança pública defende pena de morte como prevenção.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.",B,Gabarito B. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
361,VUNESP,GCM-SP,Noções de Criminologia,Etiquetamento,"Sobre Etiquetamento, segundo a criminologia moderna para GCM-SP, é correto:",Etiquetamento defende pena de morte como prevenção.,"Etiquetamento explica crime como fenômeno social, não apenas individual.",Etiquetamento desconsidera a vítima no processo.,"Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento é teoria que nega influência do meio.,A,Gabarito A. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
362,FGV,GCM-SP,Noções de Criminologia,Prevenção do crime,"Quanto a Prevenção do crime, na perspectiva da prevenção, é correto afirmar:","Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime desconsidera a vítima no processo.,C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
363,FGV,PM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, na criminologia aplicada à segurança pública, assinale:",Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime é teoria que nega influência do meio.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,A,Gabarito A. Prevenção do crime em Noções de Criminologia: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
364,VUNESP,PM-SP,Noções de Criminologia,Vitimologia,"Sobre Vitimologia, segundo a criminologia moderna para PM-SP, é correto:","Vitimologia explica crime como fenômeno social, não apenas individual.","Vitimologia foca apenas na punição, não na prevenção.",Vitimologia é teoria que nega influência do meio.,Vitimologia defende pena de morte como prevenção.,Vitimologia desconsidera a vítima no processo.,B,Gabarito B. Vitimologia em Noções de Criminologia: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
365,FGV,PC-SP,Noções de Criminologia,Escolas criminológicas,"Em Escolas criminológicas, conforme teoria do etiquetamento, assinale a correta:",Escolas criminológicas desconsidera a vítima no processo.,Escolas criminológicas é teoria que nega influência do meio.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.","Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas defende pena de morte como prevenção.,B,Gabarito B. Escolas criminológicas em Noções de Criminologia: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
366,VUNESP,GCM-SP,Noções de Criminologia,Escolas criminológicas,"Sobre Escolas criminológicas, na criminologia aplicada à segurança pública, assinale:","Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas é teoria que nega influência do meio.,"Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas desconsidera a vítima no processo.,C,Gabarito C. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
367,VUNESP,PM-SP,Noções de Criminologia,Etiquetamento,"Em Etiquetamento, conforme teoria do etiquetamento, assinale a correta:","Etiquetamento explica crime como fenômeno social, não apenas individual.","Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento desconsidera a vítima no processo.,Etiquetamento é teoria que nega influência do meio.,Etiquetamento defende pena de morte como prevenção.,A,Gabarito A. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
368,VUNESP,PM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, segundo a criminologia moderna para PM-SP, é correto:","Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime é teoria que nega influência do meio.,A,Gabarito A. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
369,FGV,GCM-SP,Noções de Criminologia,Escolas criminológicas,"Sobre Escolas criminológicas, segundo a criminologia moderna para GCM-SP, é correto:",Escolas criminológicas é teoria que nega influência do meio.,Escolas criminológicas defende pena de morte como prevenção.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas desconsidera a vítima no processo.,"Escolas criminológicas foca apenas na punição, não na prevenção.",C,Gabarito C. Escolas criminológicas em Noções de Criminologia: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
370,FGV,GCM-SP,Noções de Criminologia,Vitimologia,"Quanto a Vitimologia, na perspectiva da prevenção, é correto afirmar:",Vitimologia desconsidera a vítima no processo.,Vitimologia defende pena de morte como prevenção.,"Vitimologia foca apenas na punição, não na prevenção.","Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia é teoria que nega influência do meio.,A,Gabarito A. Vitimologia em Noções de Criminologia: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
371,VUNESP,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Sobre Criminologia e segurança pública, segundo a criminologia moderna para GCM-SP, é correto:",Criminologia e segurança pública defende pena de morte como prevenção.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.","Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública desconsidera a vítima no processo.,Criminologia e segurança pública é teoria que nega influência do meio.,C,Gabarito C. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
372,FGV,PM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, na criminologia aplicada à segurança pública, assinale:",Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime foca apenas na punição, não na prevenção.",B,Gabarito B. Prevenção do crime em Noções de Criminologia: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
373,VUNESP,PM-SP,Noções de Criminologia,Vitimologia,"Sobre Vitimologia, segundo a criminologia moderna para PM-SP, é correto:",Vitimologia desconsidera a vítima no processo.,Vitimologia defende pena de morte como prevenção.,"Vitimologia foca apenas na punição, não na prevenção.",Vitimologia é teoria que nega influência do meio.,"Vitimologia explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Vitimologia em Noções de Criminologia: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
374,VUNESP,PC-SP,Noções de Criminologia,Criminologia e segurança pública,"Sobre Criminologia e segurança pública, na criminologia aplicada à segurança pública, assinale:","Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública desconsidera a vítima no processo.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública defende pena de morte como prevenção.,Criminologia e segurança pública é teoria que nega influência do meio.,C,Gabarito C. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
375,VUNESP,GCM-SP,Noções de Criminologia,Teorias criminológicas,"Quanto a Teorias criminológicas, na perspectiva da prevenção, é correto afirmar:","Teorias criminológicas foca apenas na punição, não na prevenção.",Teorias criminológicas defende pena de morte como prevenção.,Teorias criminológicas é teoria que nega influência do meio.,Teorias criminológicas desconsidera a vítima no processo.,"Teorias criminológicas explica crime como fenômeno social, não apenas individual.",B,Gabarito B. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
376,VUNESP,PC-SP,Noções de Criminologia,Escolas criminológicas,"Quanto a Escolas criminológicas, na perspectiva da prevenção, é correto afirmar:",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas é teoria que nega influência do meio.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.","Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas desconsidera a vítima no processo.,A,Gabarito A. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
377,VUNESP,PC-SP,Noções de Criminologia,Prevenção do crime,"Quanto a Prevenção do crime, na perspectiva da prevenção, é correto afirmar:","Prevenção do crime explica crime como fenômeno social, não apenas individual.","Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime desconsidera a vítima no processo.,C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
378,FGV,PM-SP,Noções de Criminologia,Vitimologia,"Em Vitimologia, conforme teoria do etiquetamento, assinale a correta:",Vitimologia defende pena de morte como prevenção.,Vitimologia desconsidera a vítima no processo.,"Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia é teoria que nega influência do meio.,"Vitimologia foca apenas na punição, não na prevenção.",C,Gabarito C. Vitimologia em Noções de Criminologia: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
379,VUNESP,GCM-SP,Noções de Criminologia,Prevenção do crime,"Em Prevenção do crime, conforme teoria do etiquetamento, assinale a correta:","Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
380,VUNESP,GCM-SP,Noções de Criminologia,Etiquetamento,"Sobre Etiquetamento, segundo a criminologia moderna para GCM-SP, é correto:","Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento desconsidera a vítima no processo.,Etiquetamento é teoria que nega influência do meio.,Etiquetamento defende pena de morte como prevenção.,"Etiquetamento explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
381,VUNESP,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Quanto a Criminologia e segurança pública, na perspectiva da prevenção, é correto afirmar:",Criminologia e segurança pública defende pena de morte como prevenção.,Criminologia e segurança pública desconsidera a vítima no processo.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.","Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública é teoria que nega influência do meio.,B,Gabarito B. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
382,VUNESP,GCM-SP,Noções de Criminologia,Escolas criminológicas,"Quanto a Escolas criminológicas, na perspectiva da prevenção, é correto afirmar:",Escolas criminológicas desconsidera a vítima no processo.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas é teoria que nega influência do meio.,"Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas defende pena de morte como prevenção.,A,Gabarito A. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
383,VUNESP,PC-SP,Noções de Criminologia,Vitimologia,"Sobre Vitimologia, na criminologia aplicada à segurança pública, assinale:",Vitimologia desconsidera a vítima no processo.,"Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia é teoria que nega influência do meio.,Vitimologia defende pena de morte como prevenção.,"Vitimologia foca apenas na punição, não na prevenção.",B,Gabarito B. Vitimologia em Noções de Criminologia: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
384,VUNESP,PC-SP,Noções de Criminologia,Vitimologia,"Sobre Vitimologia, na criminologia aplicada à segurança pública, assinale:",Vitimologia desconsidera a vítima no processo.,"Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia defende pena de morte como prevenção.,Vitimologia é teoria que nega influência do meio.,"Vitimologia foca apenas na punição, não na prevenção.",B,Gabarito B. Vitimologia em Noções de Criminologia: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
385,VUNESP,PC-SP,Noções de Criminologia,Escolas criminológicas,"Sobre Escolas criminológicas, na criminologia aplicada à segurança pública, assinale:",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas é teoria que nega influência do meio.,Escolas criminológicas desconsidera a vítima no processo.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.","Escolas criminológicas foca apenas na punição, não na prevenção.",B,Gabarito B. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
386,VUNESP,PM-SP,Noções de Criminologia,Escolas criminológicas,"Quanto a Escolas criminológicas, na perspectiva da prevenção, é correto afirmar:","Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas defende pena de morte como prevenção.,"Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas é teoria que nega influência do meio.,Escolas criminológicas desconsidera a vítima no processo.,C,Gabarito C. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
387,FGV,GCM-SP,Noções de Criminologia,Vitimologia,"Quanto a Vitimologia, na perspectiva da prevenção, é correto afirmar:","Vitimologia foca apenas na punição, não na prevenção.",Vitimologia desconsidera a vítima no processo.,Vitimologia defende pena de morte como prevenção.,"Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia é teoria que nega influência do meio.,B,Gabarito B. Vitimologia em Noções de Criminologia: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
388,VUNESP,PM-SP,Noções de Criminologia,Escolas criminológicas,"Quanto a Escolas criminológicas, na perspectiva da prevenção, é correto afirmar:","Escolas criminológicas foca apenas na punição, não na prevenção.","Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas defende pena de morte como prevenção.,Escolas criminológicas desconsidera a vítima no processo.,Escolas criminológicas é teoria que nega influência do meio.,B,Gabarito B. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
389,VUNESP,PM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, na criminologia aplicada à segurança pública, assinale:","Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime desconsidera a vítima no processo.,Prevenção do crime é teoria que nega influência do meio.,C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
390,VUNESP,GCM-SP,Noções de Criminologia,Teorias criminológicas,"Sobre Teorias criminológicas, segundo a criminologia moderna para GCM-SP, é correto:",Teorias criminológicas é teoria que nega influência do meio.,Teorias criminológicas desconsidera a vítima no processo.,Teorias criminológicas defende pena de morte como prevenção.,"Teorias criminológicas explica crime como fenômeno social, não apenas individual.","Teorias criminológicas foca apenas na punição, não na prevenção.",A,Gabarito A. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
391,FGV,PM-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, segundo a criminologia moderna para PM-SP, é correto:",Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime é teoria que nega influência do meio.,"Prevenção do crime foca apenas na punição, não na prevenção.",C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
392,VUNESP,PM-SP,Noções de Criminologia,Teorias criminológicas,"Quanto a Teorias criminológicas, na perspectiva da prevenção, é correto afirmar:",Teorias criminológicas defende pena de morte como prevenção.,Teorias criminológicas é teoria que nega influência do meio.,Teorias criminológicas desconsidera a vítima no processo.,"Teorias criminológicas foca apenas na punição, não na prevenção.","Teorias criminológicas explica crime como fenômeno social, não apenas individual.",A,Gabarito A. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
393,VUNESP,PM-SP,Noções de Criminologia,Criminologia e segurança pública,"Quanto a Criminologia e segurança pública, na perspectiva da prevenção, é correto afirmar:",Criminologia e segurança pública defende pena de morte como prevenção.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública desconsidera a vítima no processo.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública é teoria que nega influência do meio.,B,Gabarito B. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
394,FGV,PM-SP,Noções de Criminologia,Etiquetamento,"Em Etiquetamento, conforme teoria do etiquetamento, assinale a correta:",Etiquetamento desconsidera a vítima no processo.,Etiquetamento defende pena de morte como prevenção.,"Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento é teoria que nega influência do meio.,"Etiquetamento explica crime como fenômeno social, não apenas individual.",B,Gabarito B. Etiquetamento em Noções de Criminologia: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
395,VUNESP,GCM-SP,Noções de Criminologia,Teorias criminológicas,"Sobre Teorias criminológicas, na criminologia aplicada à segurança pública, assinale:",Teorias criminológicas desconsidera a vítima no processo.,Teorias criminológicas defende pena de morte como prevenção.,"Teorias criminológicas explica crime como fenômeno social, não apenas individual.","Teorias criminológicas foca apenas na punição, não na prevenção.",Teorias criminológicas é teoria que nega influência do meio.,C,Gabarito C. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
396,FGV,PM-SP,Noções de Criminologia,Teorias criminológicas,"Quanto a Teorias criminológicas, na perspectiva da prevenção, é correto afirmar:","Teorias criminológicas foca apenas na punição, não na prevenção.",Teorias criminológicas defende pena de morte como prevenção.,Teorias criminológicas desconsidera a vítima no processo.,Teorias criminológicas é teoria que nega influência do meio.,"Teorias criminológicas explica crime como fenômeno social, não apenas individual.",B,Gabarito B. Teorias criminológicas em Noções de Criminologia: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
397,VUNESP,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Sobre Criminologia e segurança pública, segundo a criminologia moderna para GCM-SP, é correto:","Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública defende pena de morte como prevenção.,Criminologia e segurança pública é teoria que nega influência do meio.,Criminologia e segurança pública desconsidera a vítima no processo.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
398,VUNESP,PC-SP,Noções de Criminologia,Vitimologia,"Sobre Vitimologia, na criminologia aplicada à segurança pública, assinale:","Vitimologia explica crime como fenômeno social, não apenas individual.","Vitimologia foca apenas na punição, não na prevenção.",Vitimologia defende pena de morte como prevenção.,Vitimologia é teoria que nega influência do meio.,Vitimologia desconsidera a vítima no processo.,C,Gabarito C. Vitimologia em Noções de Criminologia: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
399,VUNESP,PC-SP,Noções de Criminologia,Teorias criminológicas,"Quanto a Teorias criminológicas, na perspectiva da prevenção, é correto afirmar:","Teorias criminológicas explica crime como fenômeno social, não apenas individual.","Teorias criminológicas foca apenas na punição, não na prevenção.",Teorias criminológicas é teoria que nega influência do meio.,Teorias criminológicas defende pena de morte como prevenção.,Teorias criminológicas desconsidera a vítima no processo.,B,Gabarito B. Teorias criminológicas em Noções de Criminologia: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
400,FGV,PC-SP,Noções de Criminologia,Prevenção do crime,"Sobre Prevenção do crime, na criminologia aplicada à segurança pública, assinale:","Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
401,VUNESP,PM-SP,Noções de Criminologia,Criminologia e segurança pública,"Em Criminologia e segurança pública, conforme teoria do etiquetamento, assinale a correta:",Criminologia e segurança pública defende pena de morte como prevenção.,Criminologia e segurança pública é teoria que nega influência do meio.,"Criminologia e segurança pública foca apenas na punição, não na prevenção.","Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública desconsidera a vítima no processo.,A,Gabarito A. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
402,FGV,GCM-SP,Noções de Criminologia,Criminologia e segurança pública,"Em Criminologia e segurança pública, conforme teoria do etiquetamento, assinale a correta:","Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública defende pena de morte como prevenção.,Criminologia e segurança pública desconsidera a vítima no processo.,"Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.",Criminologia e segurança pública é teoria que nega influência do meio.,A,Gabarito A. Criminologia e segurança pública em Noções de Criminologia: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
403,FGV,GCM-SP,Noções de Criminologia,Etiquetamento,"Em Etiquetamento, conforme teoria do etiquetamento, assinale a correta:",Etiquetamento é teoria que nega influência do meio.,"Etiquetamento explica crime como fenômeno social, não apenas individual.",Etiquetamento desconsidera a vítima no processo.,"Etiquetamento foca apenas na punição, não na prevenção.",Etiquetamento defende pena de morte como prevenção.,B,Gabarito B. Etiquetamento em Noções de Criminologia: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
404,FGV,GCM-SP,Noções de Criminologia,Escolas criminológicas,"Sobre Escolas criminológicas, na criminologia aplicada à segurança pública, assinale:","Escolas criminológicas explica crime como fenômeno social, não apenas individual.",Escolas criminológicas desconsidera a vítima no processo.,Escolas criminológicas defende pena de morte como prevenção.,"Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas é teoria que nega influência do meio.,B,Gabarito B. Escolas criminológicas em Noções de Criminologia: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
405,VUNESP,PC-SP,Noções de Criminologia,Criminologia e segurança pública,"Sobre Criminologia e segurança pública, na criminologia aplicada à segurança pública, assinale:","Criminologia e segurança pública explica crime como fenômeno social, não apenas individual.","Criminologia e segurança pública foca apenas na punição, não na prevenção.",Criminologia e segurança pública é teoria que nega influência do meio.,Criminologia e segurança pública desconsidera a vítima no processo.,Criminologia e segurança pública defende pena de morte como prevenção.,A,Gabarito A. Criminologia e segurança pública em Noções de Criminologia: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
406,VUNESP,GCM-SP,Noções de Criminologia,Prevenção do crime,"Quanto a Prevenção do crime, na perspectiva da prevenção, é correto afirmar:",Prevenção do crime é teoria que nega influência do meio.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.",Prevenção do crime defende pena de morte como prevenção.,"Prevenção do crime foca apenas na punição, não na prevenção.",Prevenção do crime desconsidera a vítima no processo.,A,Gabarito A. Prevenção do crime em Noções de Criminologia: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
407,VUNESP,PM-SP,Noções de Criminologia,Escolas criminológicas,"Sobre Escolas criminológicas, na criminologia aplicada à segurança pública, assinale:","Escolas criminológicas explica crime como fenômeno social, não apenas individual.","Escolas criminológicas foca apenas na punição, não na prevenção.",Escolas criminológicas desconsidera a vítima no processo.,Escolas criminológicas é teoria que nega influência do meio.,Escolas criminológicas defende pena de morte como prevenção.,C,Gabarito C. Escolas criminológicas em Noções de Criminologia: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
408,VUNESP,PC-SP,Noções de Criminologia,Etiquetamento,"Sobre Etiquetamento, na criminologia aplicada à segurança pública, assinale:",Etiquetamento defende pena de morte como prevenção.,Etiquetamento é teoria que nega influência do meio.,Etiquetamento desconsidera a vítima no processo.,"Etiquetamento explica crime como fenômeno social, não apenas individual.","Etiquetamento foca apenas na punição, não na prevenção.",C,Gabarito C. Etiquetamento em Noções de Criminologia: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
409,FGV,GCM-SP,Noções de Criminologia,Prevenção do crime,"Quanto a Prevenção do crime, na perspectiva da prevenção, é correto afirmar:",Prevenção do crime é teoria que nega influência do meio.,Prevenção do crime defende pena de morte como prevenção.,Prevenção do crime desconsidera a vítima no processo.,"Prevenção do crime explica crime como fenômeno social, não apenas individual.","Prevenção do crime foca apenas na punição, não na prevenção.",C,Gabarito C. Prevenção do crime em Noções de Criminologia: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
410,FGV,PC-SP,Noções de Criminologia,Vitimologia,"Em Vitimologia, conforme teoria do etiquetamento, assinale a correta:",Vitimologia desconsidera a vítima no processo.,"Vitimologia foca apenas na punição, não na prevenção.","Vitimologia explica crime como fenômeno social, não apenas individual.",Vitimologia é teoria que nega influência do meio.,Vitimologia defende pena de morte como prevenção.,B,Gabarito B. Vitimologia em Noções de Criminologia: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
